UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_enc,Power [W],Temp_diff [K],Wear_torque,wear_ratio
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,2,6951.5905601573495,10.5,0.0,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,1,6826.722724152668,10.5,138.89999999999998,0.015
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,1,7749.387542560967,10.399999999999977,247.0,0.025
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,1,5927.504658915662,10.400000000000034,276.5,0.035
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,1,5897.816608339239,10.5,360.0,0.045
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,2,6252.554778807085,10.5,460.9,0.05
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,1,6917.703247400628,10.5,593.6,0.07
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,1,6428.264055922363,10.5,643.2,0.08
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,2,4992.6399890359235,10.399999999999977,514.8000000000001,0.08181818181818182
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,2,5104.878622573175,10.5,588.0,0.09545454545454546
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,0,4459.993426595285,10.5,573.5999999999999,0.1
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,0,6601.4181710127195,10.5,1284.6999999999998,0.12083333333333333
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,2,7165.22933257697,10.5,1737.4,0.15454545454545454
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,2,5472.6544025534195,10.599999999999966,1110.0,0.16818181818181818
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,1,4176.85215270275,10.599999999999966,784.0,0.2
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,1,7815.528539894543,10.599999999999966,2032.8,0.21
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,2,6397.602111623327,10.599999999999966,2050.4,0.2
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,2,6733.061375173645,10.5,2143.2000000000003,0.21363636363636362
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,0,7453.6380101520235,10.399999999999977,2725.0,0.20833333333333334
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,2,5554.3358115467545,10.400000000000034,1787.5,0.25
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,0,6148.358622463025,10.400000000000034,2476.6000000000004,0.24166666666666667
